t_s,dtw_relaxed,dtw_open,dtw_close,env,fsm,gripper,fired
11.965,619.78,1193.53,2632.08,21.5,IDLE,open,
12.002,542.75,1123.10,2565.32,23.3,IDLE,open,
12.057,556.62,1080.45,2523.31,20.2,IDLE,open,
12.093,618.53,1074.48,2516.68,20.2,IDLE,open,
12.150,524.93,1079.45,2516.51,19.3,IDLE,open,
12.185,681.15,1076.35,2529.26,20.9,IDLE,open,
12.243,516.68,1090.01,2556.33,21.0,IDLE,open,
12.280,740.20,1100.41,2557.32,20.1,IDLE,open,
12.333,560.19,1097.65,2547.23,20.1,IDLE,open,
12.381,807.92,1094.73,2549.67,19.6,IDLE,open,
12.427,618.47,1094.37,2547.13,19.2,IDLE,open,
12.474,767.92,1094.06,2545.01,16.5,IDLE,open,
12.522,642.73,1094.99,2544.97,16.6,IDLE,open,
12.569,699.26,1102.94,2553.86,12.8,IDLE,open,
12.619,615.12,1111.87,2563.03,9.9,IDLE,open,
12.655,549.35,1123.54,2572.22,9.7,IDLE,open,
12.712,664.38,1128.82,2581.33,10.6,IDLE,open,
12.747,463.66,1136.51,2585.79,11.3,IDLE,open,
12.804,661.63,1150.12,2600.12,10.7,IDLE,open,
12.854,436.85,1162.87,2608.07,9.9,IDLE,open,
12.901,658.44,1175.71,2615.53,8.2,IDLE,open,
12.937,446.17,1186.82,2620.60,7.4,IDLE,open,
12.992,630.81,1206.25,2625.21,7.7,IDLE,open,
13.038,445.85,1219.08,2649.72,9.2,IDLE,open,
13.084,558.83,1241.53,2696.74,7.1,IDLE,open,
13.130,477.79,1267.71,2715.33,4.4,IDLE,open,
13.180,514.82,1331.03,2780.91,3.6,IDLE,open,
13.218,593.06,1345.72,2786.63,2.6,IDLE,open,
13.275,460.42,1357.04,2791.77,5.6,IDLE,open,
13.313,620.33,1373.71,2795.61,6.0,IDLE,open,
13.364,410.57,1394.47,2803.27,4.4,IDLE,open,
13.410,626.08,1394.11,2787.39,5.5,IDLE,open,
13.456,337.03,1401.91,2784.93,6.8,IDLE,open,
13.509,643.62,1418.80,2819.10,6.7,IDLE,open,
13.546,469.67,1420.92,2829.07,8.4,IDLE,open,
13.601,625.60,1425.45,2828.72,7.9,IDLE,open,
13.639,508.60,1455.10,2853.65,8.9,IDLE,open,
13.693,370.29,1454.92,2849.70,7.8,IDLE,open,
13.739,362.23,1447.90,2843.44,8.3,IDLE,open,
13.787,329.50,1450.64,2842.33,6.7,IDLE,open,
13.838,322.92,1444.21,2825.28,9.5,IDLE,open,
13.888,258.38,1439.21,2816.17,9.3,IDLE,open,
13.937,224.44,1437.48,2798.81,10.6,IDLE,open,
13.986,160.18,1430.10,2798.86,8.7,IDLE,open,
14.024,149.08,1424.24,2808.47,8.3,IDLE,open,
14.075,120.90,1422.94,2809.01,7.0,IDLE,open,
14.123,108.09,1424.19,2813.15,6.8,IDLE,open,
14.163,116.58,1441.26,2837.55,7.2,IDLE,open,
14.209,98.40,1442.09,2837.30,9.2,IDLE,open,
14.258,139.11,1221.80,2465.75,21.2,IDLE,open,
14.299,290.86,1424.78,2737.14,160.0,PULSE,open,
14.352,241.82,1609.74,2570.79,180.8,PULSE,open,
14.394,291.02,1053.47,1576.83,55.0,PULSE,open,
14.440,333.61,1055.74,1558.74,74.3,PULSE,open,
14.487,331.85,1093.26,1505.57,89.2,PULSE,open,
14.534,441.91,1130.07,1535.50,100.2,PULSE,open,
14.582,365.89,1090.00,1540.70,80.3,PULSE,open,
14.626,524.59,901.48,1546.32,67.0,PULSE,open,
14.674,390.55,689.82,1354.34,52.2,PULSE,open,
14.722,535.54,495.51,1250.35,37.2,PULSE,open,
14.768,404.66,457.07,1248.77,25.0,PULSE,open,
14.818,519.52,480.89,1224.82,14.6,REFRACTORY,open,open
14.864,415.76,504.14,1249.98,9.7,REFRACTORY,open,
14.910,495.11,497.75,1315.86,8.7,REFRACTORY,open,
14.954,466.85,500.15,1447.60,9.2,REFRACTORY,open,
15.003,446.21,543.16,1448.59,11.5,REFRACTORY,open,
15.055,491.94,521.57,1458.27,16.3,REFRACTORY,open,
15.102,477.40,527.57,1391.42,22.3,REFRACTORY,open,
15.150,546.98,555.54,1306.30,28.6,REFRACTORY,open,
15.199,485.96,553.59,1253.17,35.2,REFRACTORY,open,
15.241,609.48,502.14,1214.92,38.8,REFRACTORY,open,
15.289,486.78,482.07,1180.69,40.2,REFRACTORY,open,
15.329,630.15,498.35,1102.99,45.6,REFRACTORY,open,
15.376,547.29,551.42,1096.90,51.0,REFRACTORY,open,
15.422,651.62,578.04,1116.93,52.3,REFRACTORY,open,
15.471,619.75,554.24,1201.68,55.5,REFRACTORY,open,
15.519,658.73,582.59,1239.18,59.5,REFRACTORY,open,
15.569,710.43,637.84,1314.33,63.7,REFRACTORY,open,
15.610,657.90,673.04,1320.43,62.2,REFRACTORY,open,
15.658,786.48,712.96,1294.22,58.5,REFRACTORY,open,
