t_s,dtw_relaxed,dtw_close,dtw_open,env,fsm,gripper,fired
7.563,1728.47,513.89,934.14,8.2,REFRACTORY,open,
7.608,1572.19,412.41,851.23,17.6,REFRACTORY,open,
7.659,1788.88,380.44,893.30,24.7,REFRACTORY,open,
7.703,1703.16,671.46,966.33,19.6,REFRACTORY,open,
7.750,1715.74,748.19,978.27,14.0,REFRACTORY,open,
7.801,1704.92,760.29,1018.81,7.1,REFRACTORY,open,
7.844,1623.41,571.38,781.89,12.3,REFRACTORY,open,
7.892,1771.42,428.84,1020.91,41.0,REFRACTORY,open,
7.932,1504.79,647.90,875.32,54.3,REFRACTORY,open,
7.985,1833.52,1650.43,1013.27,88.1,REFRACTORY,open,
8.030,1522.57,2208.16,1143.49,99.5,REFRACTORY,open,
8.077,1859.45,1888.69,1180.68,101.3,REFRACTORY,open,
8.126,1572.61,1675.69,1268.30,85.2,REFRACTORY,open,
8.170,1842.59,1761.34,1122.75,84.7,REFRACTORY,open,
8.218,1680.35,2376.02,1269.33,75.0,REFRACTORY,open,
8.263,1800.31,2213.04,1142.41,64.5,REFRACTORY,open,
8.313,1741.29,2109.01,1190.79,41.1,REFRACTORY,open,
8.356,1725.29,2034.65,1285.56,21.4,REFRACTORY,open,
8.402,1851.36,2005.39,1241.97,7.9,REFRACTORY,open,
8.452,1634.01,2012.48,1326.44,14.9,REFRACTORY,open,
8.495,1876.44,2059.80,1155.62,7.1,REFRACTORY,open,
8.544,1549.17,2124.47,1352.40,5.2,REFRACTORY,open,
8.588,1825.83,2174.50,1170.47,13.9,REFRACTORY,open,
8.637,1503.84,2158.39,1218.01,11.3,IDLE,open,
8.682,1746.92,2137.79,1381.30,15.3,IDLE,open,
8.729,1521.18,2191.47,1348.24,20.1,IDLE,open,
8.779,1678.11,2120.07,1414.51,26.3,IDLE,open,
8.822,1642.77,1998.22,1301.75,36.9,IDLE,open,
8.871,1612.06,1908.61,1359.16,45.8,PULSE,open,
8.915,1726.45,1872.86,1244.92,48.8,PULSE,open,
8.966,1551.94,1834.33,1135.03,61.3,PULSE,open,
9.012,1800.86,1831.81,1353.67,68.1,PULSE,open,
9.059,1511.87,1838.87,1314.77,63.3,PULSE,open,
9.108,1823.62,1841.92,1255.05,52.9,PULSE,open,
9.152,1518.83,1837.96,1188.38,46.1,PULSE,open,
9.199,1800.11,1856.35,1120.24,37.1,PULSE,open,
9.274,1579.99,1803.43,1037.45,26.3,PULSE,open,
9.311,1801.39,1775.58,1051.07,25.6,PULSE,open,
9.353,1506.51,1747.89,1046.21,22.2,REFRACTORY,open,
9.392,1701.86,1729.66,1039.52,18.9,REFRACTORY,open,
9.436,1690.00,1736.86,1053.83,14.7,REFRACTORY,open,
9.479,1589.99,1754.96,1027.09,9.3,REFRACTORY,open,
9.531,2057.48,2025.88,1260.36,194.3,REFRACTORY,open,
9.573,2082.71,2486.89,1491.03,615.5,REFRACTORY,open,
9.622,2262.87,2721.29,1644.38,313.7,REFRACTORY,open,
9.666,2283.34,2820.77,1593.83,228.9,REFRACTORY,open,
9.713,2195.66,2554.02,1730.29,84.3,REFRACTORY,open,
9.763,2496.03,2631.78,1613.21,121.6,REFRACTORY,open,
9.806,2428.68,2836.79,1946.72,210.5,REFRACTORY,open,
9.872,2725.75,3051.96,2081.93,334.1,REFRACTORY,open,
9.931,2496.17,3582.67,2114.61,357.1,REFRACTORY,open,
9.994,2622.45,3870.71,2377.53,326.5,REFRACTORY,open,
10.050,2813.12,4076.94,2631.19,275.6,REFRACTORY,open,
10.094,2700.49,4197.80,2447.08,223.5,REFRACTORY,open,
10.134,2653.62,3937.91,2758.15,197.9,REFRACTORY,open,
10.172,2873.74,3690.50,2531.98,185.2,REFRACTORY,open,
10.227,2390.30,3690.16,2814.10,174.9,REFRACTORY,open,
10.267,2705.56,3184.86,2633.61,156.7,REFRACTORY,open,
10.308,2347.37,2724.12,2844.62,138.5,REFRACTORY,open,
10.367,2603.07,2403.15,2859.34,122.3,REFRACTORY,open,
10.404,2396.46,2170.64,2704.47,111.6,REFRACTORY,open,
10.461,2561.62,2045.20,2940.48,102.6,REFRACTORY,open,
10.499,2513.48,1893.09,2677.44,97.0,REFRACTORY,open,
10.555,2589.94,1875.39,2872.86,89.4,REFRACTORY,open,
10.593,2706.63,1693.42,2491.87,82.3,REFRACTORY,open,
10.647,2625.26,1674.84,2587.42,74.8,REFRACTORY,open,
10.684,2862.93,1778.67,2331.62,71.1,REFRACTORY,open,
10.733,2525.47,1775.13,2275.96,65.7,REFRACTORY,open,
10.789,2868.15,1647.13,2066.15,54.6,REFRACTORY,open,
10.843,2583.25,1548.31,1817.01,42.1,REFRACTORY,open,
10.883,2838.92,1352.56,1678.04,34.6,REFRACTORY,open,
10.938,2191.92,1280.82,1631.92,19.8,REFRACTORY,open,
10.977,2563.58,1581.15,1638.12,9.7,REFRACTORY,open,
11.033,2215.09,1590.37,1645.60,13.0,REFRACTORY,open,
11.076,2494.97,1386.60,1449.52,23.5,REFRACTORY,open,
11.117,2371.11,1150.38,1573.80,35.5,REFRACTORY,open,
11.159,2214.18,1093.60,1334.41,46.1,REFRACTORY,open,
11.200,2524.45,1042.58,1485.64,55.2,REFRACTORY,open,
11.258,2219.16,955.65,1271.23,65.1,REFRACTORY,open,
11.301,2510.46,962.94,1315.87,64.7,REFRACTORY,open,
11.343,2119.22,1040.24,1193.43,67.2,REFRACTORY,open,
11.384,2443.12,1078.65,1299.04,67.9,REFRACTORY,open,
11.443,2090.47,968.50,1393.09,65.7,REFRACTORY,open,
