t_s,dtw_relaxed,dtw_close,dtw_open
17.284,1683.36,2760.02,654.94
17.332,1645.98,2755.20,646.20
17.377,1572.19,2752.17,643.20
17.428,1540.62,2750.09,636.39
17.471,1466.25,2744.41,631.04
17.516,1424.87,2743.25,625.68
17.566,1342.94,2743.82,621.32
17.611,1302.76,2740.92,619.23
17.660,1235.69,2742.43,618.30
17.704,1176.44,2742.13,612.68
17.756,1124.86,2746.90,610.23
17.800,1059.32,2738.91,606.82
17.846,1017.74,2732.98,600.14
17.895,945.98,2725.09,589.77
17.941,911.76,2724.92,587.78
17.989,839.01,2722.64,605.13
18.034,775.92,2717.03,593.10
18.084,720.30,2749.56,600.14
18.127,696.35,2774.76,606.93
18.174,641.76,2783.43,622.04
18.223,602.69,2816.76,647.85
18.267,548.72,2841.89,678.25
18.315,517.97,2849.21,682.79
18.362,487.66,2851.23,691.39
18.412,454.69,2886.06,753.77
18.454,435.33,2903.68,755.19
18.519,405.39,2918.87,737.86
18.552,382.88,2936.23,741.80
18.608,351.97,2950.16,731.16
18.642,349.68,2962.86,726.18
18.702,318.14,2960.34,722.65
18.738,325.11,2973.31,713.82
18.798,297.20,2971.38,703.70
18.849,302.44,2973.53,695.21
18.891,283.62,2972.47,685.33
18.938,284.83,2968.77,679.15
18.988,268.23,2960.47,673.49
19.034,270.16,2946.99,672.51
19.082,262.65,2932.43,664.70
19.127,273.84,2924.43,655.89
19.176,263.13,2919.95,652.86
19.221,272.98,2917.89,653.78
19.267,270.50,2919.79,644.81
19.327,270.65,2927.88,651.71
19.377,270.34,2930.52,651.17
19.423,266.54,2932.97,653.02
19.467,272.18,2951.88,655.47
19.516,261.03,2955.82,655.97
19.549,267.88,2954.43,659.40
19.611,274.35,2960.40,659.51
19.654,287.57,2961.96,666.41
19.702,284.99,2956.48,670.04
19.750,318.17,2956.30,671.15
19.795,313.22,2957.08,682.44
19.844,300.21,2959.52,694.32
19.889,313.08,2969.87,708.37
19.939,312.27,2987.25,732.49
19.984,312.85,2983.85,731.02
20.031,310.96,3036.64,752.92
20.078,313.04,3038.28,753.79
20.124,309.32,3050.14,762.56
20.172,311.02,3065.11,782.55
20.218,306.56,3099.95,807.34
20.269,301.59,3097.68,808.90
20.312,293.21,3092.77,808.12
20.364,294.04,3085.63,802.38
20.442,283.26,3062.75,790.44
20.465,282.64,3078.52,799.27
20.515,268.30,3075.96,798.87
20.561,269.95,3115.13,814.70
20.597,261.58,3120.23,821.76
20.656,252.10,3116.51,816.11
20.692,248.60,3116.01,789.87
20.749,237.60,3109.11,792.70
20.791,229.86,3108.99,783.87
20.831,226.35,3110.07,788.46
20.886,206.40,3105.71,787.03
20.927,201.91,3107.95,783.36
20.980,192.35,3112.47,782.43
21.021,184.68,3102.65,784.86
21.074,172.27,3100.32,784.00
21.116,168.11,3109.12,782.57
21.167,150.31,3114.08,783.03
21.206,151.58,3109.37,784.25
21.260,144.59,3110.85,784.64
21.300,129.31,3113.38,788.99
21.349,132.92,3148.80,801.75
21.398,119.32,3149.80,805.78
21.444,118.18,3151.16,808.54
21.491,108.56,3149.28,811.51
21.537,106.46,3147.26,813.72
21.579,97.06,3150.59,821.80
21.632,99.82,3149.61,824.03
21.682,83.82,3149.68,826.43
21.720,86.44,3147.37,816.80
21.772,85.22,3147.63,834.03
21.820,73.65,3146.38,849.18
21.866,80.98,3140.99,847.06
21.914,66.19,3137.22,846.72
21.961,72.86,3136.06,844.83
22.008,68.14,3133.08,841.55
22.051,70.46,3126.31,833.51
22.099,68.38,3118.98,824.85
22.145,72.22,3117.88,824.38
22.191,75.28,3113.74,792.00
22.242,67.79,3115.09,797.85
22.289,73.82,3109.21,787.98
22.338,74.18,3104.41,784.47
22.382,82.81,3098.97,765.66
22.431,66.14,3105.17,763.34
22.475,79.06,3102.06,765.25
22.522,66.60,3103.99,763.68
22.564,74.47,3099.49,767.91
22.618,66.59,3106.94,762.74
22.660,75.53,3097.80,767.50
22.709,69.32,3098.01,768.30
22.756,78.12,3097.13,766.80
22.804,66.84,3108.95,771.38
22.850,68.12,3112.85,774.76
22.900,71.35,3131.17,772.67
22.940,54.28,3147.74,782.28
22.995,72.95,3146.84,785.14
23.034,55.58,3147.33,795.36
23.084,71.28,3147.02,803.30
23.130,52.64,3137.11,801.39
23.177,67.26,3136.61,797.09
23.226,53.08,3138.66,808.53
23.272,64.59,3141.49,818.36
23.321,56.22,3144.90,826.74
23.366,61.80,3141.58,827.83
23.411,67.27,3132.81,819.24
23.458,50.91,3126.86,815.44
23.505,76.68,3112.74,811.66
23.551,59.28,3110.24,815.33
23.599,77.78,3106.12,811.38
23.648,54.96,3102.17,812.93
23.692,71.59,3094.32,809.71
23.738,59.33,3090.20,807.49
23.785,78.13,3096.48,805.91
23.831,63.55,3094.54,801.77
23.879,74.12,3092.96,795.02
23.927,69.31,3090.21,792.60
23.976,61.09,3081.14,776.46
24.019,76.51,3066.53,773.74
24.066,62.13,3062.66,771.06
24.113,75.67,3061.64,763.12
24.159,61.03,3069.44,764.72
24.207,70.70,3073.45,763.51
24.253,60.09,3096.08,780.91
24.301,61.88,3099.57,782.26
24.362,53.23,3103.69,786.28
24.398,57.25,3102.64,786.74
24.454,53.44,3123.27,789.93
24.499,61.44,3119.03,788.72
24.546,47.82,3101.60,790.95
24.588,46.05,3080.49,782.56
24.629,60.30,3068.05,775.12
24.690,50.79,3082.03,784.42
24.752,55.90,3082.73,746.45
24.797,66.63,3027.08,727.76
24.846,77.90,2978.87,711.71
24.888,81.65,2951.30,717.88
24.935,112.75,2919.42,719.35
24.982,120.78,2875.71,732.70
25.028,159.09,2856.65,748.06
25.078,174.52,2840.57,768.01
25.122,214.64,2823.27,791.97
25.172,234.58,2822.57,831.90
25.214,270.44,2823.02,857.65
25.262,309.23,2825.75,885.62
25.310,331.99,2829.13,908.21
25.356,370.74,2797.35,926.17
25.404,387.56,2798.09,941.83
25.482,441.96,2762.39,963.28
25.514,452.06,2722.55,971.52
25.546,468.50,2709.77,964.86
25.587,489.75,2638.54,916.61
25.632,504.02,2586.17,867.25
25.681,520.41,2522.75,799.87
25.728,524.97,2461.51,743.45
25.772,541.71,2413.10,698.81
25.822,538.83,2352.06,638.48
25.866,534.10,2287.37,573.21
25.913,541.61,2264.56,548.94
25.960,472.28,2256.50,535.00
26.009,491.99,2257.91,540.04
26.054,474.09,2253.86,535.28
26.101,491.97,2244.62,535.16
26.151,487.98,2242.39,546.49
26.195,513.32,2250.58,562.11
26.241,517.35,2262.67,582.35
26.288,537.53,2280.79,611.66
26.337,547.83,2302.69,638.66
26.384,563.83,2322.56,665.60
26.430,598.90,2348.83,698.13
26.478,598.36,2367.87,724.43
26.521,634.76,2399.91,754.03
26.567,635.25,2437.67,787.74
26.615,678.10,2477.08,826.20
26.664,691.02,2513.64,859.94
26.709,723.44,2552.85,873.10
26.754,746.88,2603.41,890.48
26.802,770.78,2710.67,921.86
26.847,788.17,2800.03,986.49
26.893,812.35,2954.72,1156.95
26.940,844.12,3077.73,1292.72
26.988,854.26,3224.15,1389.09
27.034,891.66,3357.10,1375.29
27.095,910.36,3463.74,1347.98
27.142,949.83,3422.16,1314.57
27.188,956.29,3375.67,1273.84
27.238,992.10,3296.41,1198.33
27.281,994.60,3200.66,1105.05
27.328,1012.65,3104.99,1015.39
27.376,1029.78,3041.10,955.74
27.424,1042.76,2944.09,860.44
27.461,1052.53,2900.34,822.86
27.515,1067.26,2823.89,758.26
27.564,1072.59,2724.92,672.08
27.609,1080.39,2662.98,624.43
27.654,1099.52,2610.95,587.82
27.701,1091.72,2555.03,543.49
27.749,1101.89,2508.62,509.93
27.796,1101.00,2470.77,474.57
27.840,1104.52,2446.73,452.69
27.891,1112.33,2426.43,479.46
27.934,1109.39,2418.83,531.92
27.982,1115.55,2414.57,515.14
28.028,1062.96,2401.04,499.92
28.078,1074.29,2398.88,491.22
28.124,1043.68,2440.96,503.13
28.168,1051.56,2523.89,604.30
28.218,1032.68,2595.96,732.43
28.261,1042.13,2666.80,831.96
28.308,1041.25,2678.26,858.20
28.355,1041.06,2729.50,929.68
28.405,1043.44,2758.97,990.30
28.450,1045.03,2794.50,1034.82
28.497,1049.84,2821.01,1083.34
28.548,1050.60,2883.81,1171.28
28.590,1059.49,2945.04,1235.84
28.636,1050.96,2977.26,1215.82
28.683,1064.79,2975.87,1194.11
28.732,1083.65,2980.85,1172.42
28.777,1106.07,2982.37,1150.55
28.822,1097.96,2979.03,1110.60
28.872,1102.10,2975.48,1070.88
28.916,1097.32,2966.00,1044.90
28.962,1086.88,2965.03,1004.84
29.011,1077.40,2999.36,961.42
29.058,1058.10,3036.48,916.41
29.105,1045.54,3029.73,882.54
29.149,1008.04,3021.54,851.56
29.199,1002.14,3004.43,811.35
29.243,955.26,2995.32,774.07
29.289,958.60,2985.36,743.30
29.334,923.33,2977.38,724.72
29.384,891.05,2972.31,705.30
29.430,869.78,2972.30,691.82
29.477,837.59,2970.03,681.85
29.524,827.43,2970.17,660.15
29.568,791.55,2968.74,645.27
29.615,829.56,2779.58,678.95
29.662,907.53,2950.70,811.58
29.710,838.37,2087.98,839.86
29.756,881.59,1664.12,458.80
29.801,863.01,1736.87,500.42
29.854,927.33,1802.58,576.71
29.898,954.17,1965.84,680.75
29.944,1022.04,2085.30,782.83
29.993,1066.49,2104.41,858.72
30.039,1085.59,2155.15,925.80
30.087,1188.96,2091.11,924.71
30.132,1160.39,1920.66,862.50
30.182,1213.76,1741.71,681.31
30.226,1163.05,1682.17,612.71
30.272,1204.68,1629.75,550.75
30.319,1108.93,1615.74,535.53
30.369,1153.41,1608.53,526.14
30.416,1089.28,1627.11,547.24
30.484,1101.70,1569.50,498.62
30.514,1057.53,1637.92,547.31
30.556,1040.12,1682.96,553.92
30.602,1058.08,1616.17,502.87
30.650,986.55,1601.33,488.25
30.697,1013.93,1559.46,471.71
30.744,937.21,1553.60,472.29
30.789,966.03,1568.33,474.75
30.839,889.38,1575.26,475.06
30.881,920.66,1589.48,479.07
30.928,855.14,1599.95,494.09
30.975,858.99,1639.76,516.23
31.022,826.11,1648.61,552.13
31.069,802.14,1705.33,570.31
31.115,804.87,1655.07,546.28
31.164,716.52,1651.02,539.93
31.207,739.02,1610.50,497.67
31.255,669.38,1602.91,487.45
31.302,710.41,1610.28,511.71
31.351,664.03,1656.08,542.65
31.397,717.53,1695.08,583.25
31.443,681.73,1759.26,637.05
31.494,750.81,1867.89,735.19
31.538,747.61,1993.72,850.48
31.583,797.97,2123.64,1028.58
31.629,862.14,2562.72,1285.47
31.677,883.34,2559.98,1266.32
31.724,999.51,2575.72,1291.69
31.769,998.54,2808.98,1594.38
31.821,1132.17,3593.02,1832.37
31.861,1125.15,3592.73,1866.63
31.908,1255.90,3535.30,1888.76
31.954,1250.22,3375.10,1873.25
32.003,1355.12,3058.48,1834.07
32.051,1354.11,2801.05,1815.01
32.095,1404.16,2571.59,1630.66
32.146,1438.61,2330.35,1330.11
32.190,1439.79,2134.02,1090.14
32.237,1511.18,1992.54,907.48
32.286,1467.79,1837.55,792.25
32.333,1531.50,1706.00,662.62
32.379,1466.60,1612.96,569.10
32.424,1506.39,1604.38,549.71
32.475,1474.13,1597.60,546.29
32.519,1519.99,1606.33,556.46
32.565,1509.26,1629.17,570.49
32.611,1557.38,1654.99,593.97
32.660,1583.52,1694.16,628.25
32.706,1596.89,1736.52,672.66
32.752,1655.54,1783.35,714.12
32.802,1638.90,1837.14,766.36
32.845,1716.58,1887.15,824.30
32.892,1721.32,1933.73,879.04
32.938,1785.53,1994.20,915.40
33.000,1805.72,2117.53,970.34
33.046,1868.71,2162.69,1024.83
33.097,1887.67,2239.48,1086.34
33.144,1953.48,2319.21,1160.36
33.188,1978.02,2397.38,1196.22
33.240,2069.48,2464.96,1239.69
33.282,2072.35,2599.81,1297.27
33.330,2135.75,2874.15,1635.38
33.392,2168.31,3235.37,2040.33
33.425,2207.08,3487.67,2335.25
33.472,2290.31,3840.31,2749.33
33.517,2272.68,4139.86,2919.44
33.581,2380.71,4464.20,2880.54
33.615,2357.83,4370.01,2855.97
33.674,2466.91,4161.11,2773.53
33.719,2373.21,4009.56,2704.24
33.765,2388.58,3864.19,2615.59
33.798,2428.96,3761.86,2525.67
33.857,2452.48,3558.49,2375.04
33.906,2461.01,3385.56,2198.66
